ticker,BidangUsaha,JumlahAset,Lokasi,MataUang,Nama,Persentase,Satuan,StatusOperasi,TahunKomersil
AALI,Perkebunan Sawit,231178.0,Kalimantan Tengah,,PT Agro Menararachmat,99.99,,Operasi,1998
ABBA,PENERBITAN PERS,136794322232.0,JAKARTA,,PT REPUBLIKA MEDIA MANDIRI,92.0,,AKTIF,2004
ABDA,Asuransi Umum,2809365931.0,Jakarta,,"PT Asuransi Bina Dana Arta, Tbk",100.0,,Aktif,1982
ABMM,Industri pembangkit listrik energi thermal,1203922.0,Jakarta,,PT Karimun Power Plant(melalui SS),85.0,,Belum operasi,0
ACES,INDUSTRI DAN PERDAGANGAN,115395710039.0,JAKARTA,,PT TOYS KINGDOM INDONESIA,60.0,,AKTIF,2016
ACST,Perdagangan Besar dan Jasa Pelayanan Purna Jual,2000000000.0,Jakarta,,PT Aneka Raya Konstruksi Mesindo,80.0,,Belum aktif,2014
ADES,,,,,,,,,
ADFO,,,,,,,,,
ADHI,Realti,1084607752365.0,Jakarta,,PT Adhi Persada Realti,99.97,,Anak Perusahaan,2008
ADMF,,,,,,,,,
ADMG,Industri,54844352.0,Jakarta,,PT Filamendo Sakti,93.0,,Aktif,1993
ADRO,,,,,,,,,
AGAR,,,,,,,,,
AGII,Produksi dan Perdagangan gas,131790769.0,Cilegon,,PT Krakatau Samator,55.0,,In Progress,
AGRO,,,,,,,,,
AGRS,PERBANKAN,4217368.0,JAKARTA,,PT BANK AGRIS TBK,0.0,,AKTIF,2016
AHAP,,,,,,,,,
AIMS,,,,,,,,,
AISA,Industri Perkebunan Kelapa Sawit,1975623.0,Jakarta,,PT. Golden Plantation,78.17,,,
AKKU,Industri kemasan plastik,10011894007.0,Tangerang,,PT Aneka Plastindo Yutama,99.9999,,Beroperasi,2011
AKPI,Manufaktur film BOPP,614790808265.0,,,Stenta Films (M) Sdn. Bhd.,22.95,,,
AKRA,JASA LOGISTIK,28445000000.0,JAKARTA,,PT. AKR TRANSPORTASI INDONESIA,99.99,,AKTIF,2013
AKSI,PERANTARA PEDAGANG EFEK,300000000000.0,JAKARTA,,PT NUSADANA SEKURITAS,99.0,,BELUM BEROPERASI,2014
ALDO,Distribusi bahan kimia,150925655707.0,Cimareme,,PT Swisstex Naratama Indonesia,51.0,,aktif,2006
ALKA,Industri Aluminium,78080079.0,Jakarta,,PT Alakasa Extrusindo (AE),100.0,,2001,2001
ALMI,,,,,,,,,
ALTO,Industri air mineral,776290868577.0,Jakarta,,Tirtamas Abadi Berjaya,99.54,,Beroperasi,2011
AMAG,REKSADANA,102450961211.0,"MNC FINANCIAL CENTER, JL. KEBON SIRIH NO.21-27. JAKARTA 10340. INDONESIA",,REKSADANA TERPROTEKSI MNC DANA TERPROTEKSI II,100.0,,,2016
AMAN,Perhotelan,220685260.0,Bali,IDR,PT Makmur Berkah Amanda Hotel,81.79,RIBUAN,Beroperasi,2018
AMAR,,,,,,,,,
AMFG,Jasa penggantian dan  Perbaikan  kaca pengaman  kendaraan bermotor,6824.0,Jakarta ,,PT Auto Glass Indonesia,100.0,,Aktif ,2001
AMIN,,,,,,,,,
AMOR,,,,,,,,,
