ticker,id,KodeEmiten,NamaEmisi,ListingDate,MatureDate,Rating,Nominal,Margin,WaliAmanat,ISINCode
AALI,,,,,,,,,,
ABBA,,,,,,,,,,
ABDA,,,,,,,,,,
ABMM,,,,,,,,,,
ACES,,,,,,,,,,
ACST,,,,,,,,,,
ADES,,,,,,,,,,
ADFO,,,,,,,,,,
ADHI,1.0,ADHI,-,1900-01-01T00:00:00,1900-01-01T00:00:00,-,0.0,0.0,-,-
ADMF,1.0,ADMF,-,1900-01-01T00:00:00,1900-01-01T00:00:00,-,0.0,0.0,-,-
ADMG,,,,,,,,,,
ADRO,,,,,,,,,,
AGAR,,,,,,,,,,
AGII,1.0,AGII,-,1900-01-01T00:00:00,1900-01-01T00:00:00,-,0.0,0.0,-,-
AGRO,,,,,,,,,,
AGRS,,,,,,,,,,
AHAP,,,,,,,,,,
AIMS,,,,,,,,,,
AISA,,,,,,,,,,
AKKU,,,,,,,,,,
AKPI,,,,,,,,,,
AKRA,,,,,,,,,,
AKSI,,,,,,,,,,
ALDO,,,,,,,,,,
ALKA,,,,,,,,,,
ALMI,,,,,,,,,,
ALTO,,,,,,,,,,
AMAG,,,,,,,,,,
AMAN,,,,,,,,,,
AMAR,,,,,,,,,,
AMFG,,,,,,,,,,
AMIN,,,,,,,,,,
AMOR,,,,,,,,,,
AMRT,1.0,AMRT,-,1900-01-01T00:00:00,1900-01-01T00:00:00,-,0.0,0.0,-,-
ANDI,,,,,,,,,,
ANJT,,,,,,,,,,
ANTM,,,,,,,,,,
APEX,,,,,,,,,,
APIC,,,,,,,,,,
APII,,,,,,,,,,
APLI,,,,,,,,,,
APLN,,,,,,,,,,
ARGO,,,,,,,,,,
ARII,,,,,,,,,,
ARKA,,,,,,,,,,
ARMY,,,,,,,,,,
ARNA,,,,,,,,,,
ARTA,,,,,,,,,,
ARTI,,,,,,,,,,
ARTO,,,,,,,,,,
ASBI,,,,,,,,,,
ASDM,,,,,,,,,,
ASGR,,,,,,,,,,
ASII,,,,,,,,,,
ASJT,,,,,,,,,,
ASMI,,,,,,,,,,
ASPI,,,,,,,,,,
ASRI,,,,,,,,,,
ASRM,,,,,,,,,,
ASSA,,,,,,,,,,
ATIC,,,,,,,,,,
AUTO,,,,,,,,,,
AYLS,,,,,,,,,,
BABP,,,,,,,,,,
BACA,,,,,,,,,,
BAJA,,,,,,,,,,
BALI,1.0,BALI,-,1900-01-01T00:00:00,1900-01-01T00:00:00,-,0.0,0.0,-,-
BAPA,,,,,,,,,,
BAPI,,,,,,,,,,
BATA,,,,,,,,,,
BAYU,,,,,,,,,,
BBCA,1.0,BBCA,Obligasi Subordinasi Berkelanjutan I Bank Central Asia Tahap I Tahun 2018,2018-07-06T00:00:00,2025-07-05T00:00:00,AA,500000000000.0,0.0,PT Bank Rakyat Indonesia (Persero) Tbk.,IDA0000918A5
BBHI,,,,,,,,,,
BBKP,,,,,,,,,,
BBLD,,,,,,,,,,
BBMD,,,,,,,,,,
BBNI,,,,,,,,,,
BBRI,1.0,BBRI,-,1900-01-01T00:00:00,1900-01-01T00:00:00,-,0.0,0.0,-,-
BBRM,,,,,,,,,,
BBSI,,,,,,,,,,
BBSS,,,,,,,,,,
BBTN,1.0,BBTN,-,1900-01-01T00:00:00,1900-01-01T00:00:00,-,0.0,0.0,-,-
BBYB,,,,,,,,,,
BCAP,1.0,BCAP,-,1900-01-01T00:00:00,1900-01-01T00:00:00,-,0.0,0.0,-,-
BCIC,,,,,,,,,,
BCIP,,,,,,,,,,
BDMN,1.0,BDMN,-,1900-01-01T00:00:00,1900-01-01T00:00:00,-,0.0,0.0,-,-
BEEF,,,,,,,,,,
BEKS,,,,,,,,,,
BELL,,,,,,,,,,
BESS,,,,,,,,,,
BEST,,,,,,,,,,
BFIN,1.0,BFIN,-,1900-01-01T00:00:00,1900-01-01T00:00:00,-,0.0,0.0,-,-
BGTG,,,,,,,,,,
BHAT,,,,,,,,,,
BHIT,,,,,,,,,,
BIKA,,,,,,,,,,
BIMA,,,,,,,,,,
BINA,,,,,,,,,,
BIPI,,,,,,,,,,
BIPP,,,,,,,,,,
BIRD,,,,,,,,,,
BISI,,,,,,,,,,
BJBR,1.0,BJBR,-,1900-01-01T00:00:00,1900-01-01T00:00:00,-,0.0,0.0,-,-
BJTM,,,,,,,,,,
BKDP,,,,,,,,,,
BKSL,,,,,,,,,,
