No,IDBrokerSummary,Date,IDFirm,FirmName,Volume,Value,Frequency,Year
1,548431,2019-01-02T00:00:00,AD,OSO Sekuritas Indonesia,783550100.0,183076338100.0,5908.0,2019
2,548432,2019-01-02T00:00:00,AF,Harita Kencana Sekuritas,6504700.0,3406441100.0,230.0,2019
3,548433,2019-01-02T00:00:00,AG,Kiwoom Sekuritas Indonesia,106706100.0,77614027900.0,5171.0,2019
4,548434,2019-01-02T00:00:00,AH,Shinhan Sekuritas Indonesia,27623600.0,14439114200.0,840.0,2019
5,548435,2019-01-02T00:00:00,AI,UOB Kay Hian Sekuritas,75511920.0,65352719700.0,4869.0,2019
6,548436,2019-01-02T00:00:00,AK,UBS Sekuritas Indonesia,53734732.0,191901200600.0,11373.0,2019
7,548437,2019-01-02T00:00:00,AN,Wanteg Sekuritas,8356100.0,6942504400.0,1079.0,2019
8,548438,2019-01-02T00:00:00,AO,ERDIKHA ELIT SEKURITAS,48284800.0,35800128400.0,2912.0,2019
9,548439,2019-01-02T00:00:00,AP,Pacific Sekuritas Indonesia,743879900.0,204269902900.0,156.0,2019
10,548440,2019-01-02T00:00:00,AR,Binaartha Sekuritas,18025500.0,11081734700.0,250.0,2019
11,548441,2019-01-02T00:00:00,AT,Phintraco Sekuritas,20532200.0,10047401200.0,3378.0,2019
12,548442,2019-01-02T00:00:00,AZ,Sucor Sekuritas,102136856.0,80854131322.0,2596.0,2019
13,548443,2019-01-02T00:00:00,BF,Inti Fikasa Sekuritas,985300.0,612985400.0,190.0,2019
14,548444,2019-01-02T00:00:00,BK,J.P. Morgan Sekuritas Indonesia,36167600.0,154841190600.0,10423.0,2019
15,548445,2019-01-02T00:00:00,BQ,Korea Investment and Sekuritas Indonesia,89391100.0,50144053300.0,3428.0,2019
16,548446,2019-01-02T00:00:00,BR,Trust Sekuritas,60911300.0,80631764500.0,2526.0,2019
17,548447,2019-01-02T00:00:00,BS,Equity Sekuritas Indonesia,149753600.0,31537721200.0,641.0,2019
18,548448,2019-01-02T00:00:00,BZ,BATAVIA PROSPERINDO SEKURITAS,3222500.0,1545997400.0,139.0,2019
19,548449,2019-01-02T00:00:00,CC,MANDIRI SEKURITAS,557018163.0,417778425406.0,45406.0,2019
20,548450,2019-01-02T00:00:00,CD,Mega Capital Sekuritas,55496900.0,57381838400.0,3631.0,2019
21,548451,2019-01-02T00:00:00,CG,Citigroup Sekuritas Indonesia,65036176.0,171263852000.0,11189.0,2019
22,548452,2019-01-02T00:00:00,CP,Valbury Sekuritas Indonesia,10976825400.0,826533350400.0,12390.0,2019
23,548453,2019-01-02T00:00:00,CS,Credit Suisse Sekuritas Indonesia,119085500.0,445126575200.0,9934.0,2019
24,548454,2019-01-02T00:00:00,DB,Deutsche Sekuritas Indonesia,88472700.0,278449735200.0,18655.0,2019
25,548455,2019-01-02T00:00:00,DD,Makindo Sekuritas,195100.0,51189200.0,16.0,2019
26,548456,2019-01-02T00:00:00,DH,SINARMAS SEKURITAS,102829400.0,136952797400.0,9423.0,2019
27,548457,2019-01-02T00:00:00,DM,Masindo Artha Sekuritas,23413100.0,5923262300.0,258.0,2019
28,548458,2019-01-02T00:00:00,DP,DBS Vickers Sekuritas Indonesia,8947800.0,44636677400.0,940.0,2019
29,548459,2019-01-02T00:00:00,DR,RHB Sekuritas Indonesia,137227900.0,139980033300.0,14145.0,2019
30,548460,2019-01-02T00:00:00,DX,Bahana Sekuritas,103349060.0,116685359000.0,5107.0,2019
31,548461,2019-01-02T00:00:00,EL,Evergreen Sekuritas Indonesia,274839200.0,129228919100.0,2751.0,2019
32,548462,2019-01-02T00:00:00,EP,MNC Sekuritas,458200500.0,129477161200.0,11778.0,2019
33,548463,2019-01-02T00:00:00,ES,EKOKAPITAL SEKURITAS,4297000.0,3592357300.0,369.0,2019
34,548464,2019-01-02T00:00:00,FG,Nomura Sekuritas Indonesia,45958700.0,142850446600.0,3853.0,2019
35,548465,2019-01-02T00:00:00,FM,ONIX SEKURITAS,29839800.0,22490962700.0,2182.0,2019
36,548466,2019-01-02T00:00:00,FO,Forte Global Sekuritas,303100.0,71776000.0,8.0,2019
37,548467,2019-01-02T00:00:00,FS,Yuanta Sekuritas Indonesia,607129900.0,177777442800.0,4314.0,2019
38,548468,2019-01-02T00:00:00,FZ,Waterfront Sekuritas Indonesia,70146400.0,60643704100.0,3197.0,2019
39,548469,2019-01-02T00:00:00,GA,BNC Sekuritas Indonesia,90032600.0,37342174100.0,2750.0,2019
40,548470,2019-01-02T00:00:00,GI,Mahastra Andalan Sekuritas,675700.0,622654500.0,72.0,2019
41,548471,2019-01-02T00:00:00,GR,PANIN SEKURITAS Tbk.,163029460.0,125451155880.0,13235.0,2019
42,548472,2019-01-02T00:00:00,GW,HSBC Sekuritas Indonesia,64533200.0,230454273100.0,588.0,2019
43,548473,2019-01-02T00:00:00,HD,KGI Sekuritas Indonesia,153661500.0,99827371700.0,3734.0,2019
44,548474,2019-01-02T00:00:00,HP,Henan Putihrai Sekuritas,54346000.0,48425758600.0,4847.0,2019
45,548475,2019-01-02T00:00:00,ID,Anugerah Sekuritas Indonesia,272643300.0,81140902500.0,2128.0,2019
46,548476,2019-01-02T00:00:00,IF,SAMUEL SEKURITAS INDONESIA,71339600.0,45999829600.0,4863.0,2019
47,548477,2019-01-02T00:00:00,IH,Pacific 2000 Sekuritas,29221600.0,26121016800.0,1475.0,2019
48,548478,2019-01-02T00:00:00,II,Danatama Makmur Sekuritas,15922700.0,1459040800.0,65.0,2019
49,548479,2019-01-02T00:00:00,IN,INVESTINDO NUSANTARA SEKURITA,31816400.0,21870452300.0,2817.0,2019
50,548480,2019-01-02T00:00:00,IP,Indosurya Bersinar Sekuritas,49955800.0,25964489400.0,1866.0,2019
51,548481,2019-01-02T00:00:00,IT,INTI TELADAN SEKURITAS,1081100.0,2262080000.0,148.0,2019
52,548482,2019-01-02T00:00:00,IU,Indo Capital Sekuritas,44107300.0,32582177100.0,2961.0,2019
53,548483,2019-01-02T00:00:00,KI,Ciptadana Sekuritas Asia,2099345560.0,1838597884664.0,2273.0,2019
54,548484,2019-01-02T00:00:00,KK,Phillip Sekuritas Indonesia,199571000.0,130326488800.0,22263.0,2019
55,548485,2019-01-02T00:00:00,KS,Kresna Sekuritas,997561800.0,640334986400.0,3553.0,2019
56,548486,2019-01-02T00:00:00,KW,Corpus Sekuritas Indonesia,130500.0,132074000.0,32.0,2019
57,548487,2019-01-02T00:00:00,KZ,CLSA Sekuritas Indonesia,38306437.0,135559622394.0,8031.0,2019
58,548488,2019-01-02T00:00:00,LG,Trimegah Sekuritas Indonesia Tbk.,260195200.0,199092226500.0,10081.0,2019
59,548489,2019-01-02T00:00:00,LH,Royal Investium Sekuritas,241086300.0,89499434300.0,2189.0,2019
60,548490,2019-01-02T00:00:00,LS,Reliance Sekuritas Indonesia Tbk.,330133300.0,112063579000.0,3488.0,2019
61,548491,2019-01-02T00:00:00,MG,Semesta Indovest Sekuritas,110645200.0,85314673500.0,5833.0,2019
62,548492,2019-01-02T00:00:00,MI,Victoria Sekuritas Indonesia,11150200.0,15903411400.0,772.0,2019
63,548493,2019-01-02T00:00:00,MK,Ekuator Swarna Sekuritas,14369900.0,15562018000.0,917.0,2019
64,548494,2019-01-02T00:00:00,ML,Merrill Lynch Sekuritas Indonesia,59128300.0,316721629800.0,12867.0,2019
65,548495,2019-01-02T00:00:00,MS,Morgan Stanley Sekuritas Indonesia,79113000.0,345237596000.0,6506.0,2019
66,548496,2019-01-02T00:00:00,MU,Minna Padi Investama Sekuritas,19787594.0,16121489550.0,377.0,2019
67,548497,2019-01-02T00:00:00,NI,BNI Sekuritas,1244809158.0,661880019400.0,23229.0,2019
68,548498,2019-01-02T00:00:00,OD,DANAREKSA SEKURITAS,130253500.0,118731328700.0,8890.0,2019
69,548499,2019-01-02T00:00:00,OK,NET SEKURITAS,2181200.0,1668284800.0,166.0,2019
70,548500,2019-01-02T00:00:00,PC,FAC Sekuritas Indonesia,565644900.0,221645583800.0,4420.0,2019
