ticker,Nama,Jabatan,Afiliasi
AALI,SANTOSA,PRESIDEN DIREKTUR,True
ABBA,Adrian Syarkawi,DIREKTUR UTAMA,True
ABDA,Julien Pierre Combaret,DIREKTUR,True
ABMM,Achmad Ananda Djajanegara,DIREKTUR UTAMA,True
ACES,PRABOWO WIDYA KRISNADI,DIREKTUR UTAMA,True
ACST,Idot Supriadi,PRESIDEN DIREKTUR,True
ADES,Wihardjo Hadiseputro,PRESIDEN DIREKTUR,False
ADFO,,,
ADHI,ENTUS ASNAWI MUKHSON,DIREKTUR UTAMA,True
ADMF,Hafid Hadeli,DIREKTUR UTAMA,True
ADMG,"Gautama Hartarto, MA",PRESIDEN DIREKTUR,True
ADRO,Garibaldi Thohir,PRESIDEN DIREKTUR,True
AGAR,Indra Widyadharma,DIREKTUR UTAMA,True
AGII,RACHMAT HARSONO,DIREKTUR UTAMA,False
AGRO,Ebeneser Girsang,DIREKTUR UTAMA,False
AGRS,Park Ju Yong,DIREKTUR UTAMA,False
AHAP,Roy S Wiradharma,DIREKTUR UTAMA,False
AIMS,Ramono Sukadis,DIREKTUR UTAMA,True
AISA,Lim Aun Seng,DIREKTUR UTAMA,True
AKKU,HERLIANSYAH RAHADIAN,PRESIDEN DIREKTUR,False
AKPI,WILSON PRIBADI,DIREKTUR UTAMA,False
AKRA,Haryanto Adikoesoemo,PRESIDEN DIREKTUR,True
AKSI,Doddy Hermawan,DIREKTUR UTAMA,False
ALDO,Herwanto Sutanto,Direktur Utama,False
ALKA,Peng Tjoan,PRESIDEN DIREKTUR,True
ALMI,Alim Markus,DIREKTUR UTAMA,True
ALTO,Lisianawati,DIREKTUR UTAMA,True
AMAG,Pankaj Oberoi,PRESIDEN DIREKTUR,True
AMAN,Adi Saputra Tedja Surya,DIREKTUR UTAMA,True
AMAR,Vishal Tulsian,DIREKTUR UTAMA,False
AMFG,Shinichi Minagawa,PRESIDEN DIREKTUR,True
AMIN,Rudy Susanto,PRESIDEN DIREKTUR,True
AMOR,Ir. Ronaldus Gandahusada,PRESIDEN DIREKTUR,True
AMRT,Anggara Hans Prawira,PRESIDEN DIREKTUR,True
ANDI,Francis Indarto,DIREKTUR UTAMA,True
ANJT,Istini Tatiek Siddharta,DIREKTUR UTAMA,True
ANTM,Dana Amin,DIREKTUR UTAMA,True
APEX,Zainal Abidinsyah Siregar,DIREKTUR UTAMA,False
APIC,Wiyana,DIREKTUR UTAMA,True
APII,Harianto,DIREKTUR,False
APLI,Wilson Agung Pranoto,DIREKTUR UTAMA,True
APLN,Bacelius Ruru,DIREKTUR UTAMA,True
ARGO,Surjanto Purnadi,DIREKTUR UTAMA,True
ARII,Abdi Andre,PRESIDEN DIREKTUR,True
ARKA,Dwi Hartanto,DIREKTUR UTAMA,True
ARMY,Bambang Irianto,DIREKTUR UTAMA,False
ARNA,"Tandean Rustandy, M.B.A.",DIREKTUR UTAMA,True
ARTA,Chan Shih Mei,DIREKTUR,True
ARTI,B. Bur Maras,DIREKTUR UTAMA,True
ARTO,Kharim Indra Gupta Siregar,DIREKTUR UTAMA,True
ASBI,Hastanto Sri Margi Widodo,PRESIDEN DIREKTUR,True
ASDM,Dewi Mandrawan,PRESIDEN DIREKTUR,False
ASGR,Hendrix Pramana,PRESIDEN DIREKTUR,True
ASII,Djony Bunarto Tjondro,PRESIDEN DIREKTUR,True
ASJT,Megang Kacaribu,DIREKTUR UTAMA,True
ASMI,JEMMY ATMADJA,DIREKTUR,True
ASPI,Suwandi Notopradono,DIREKTUR UTAMA,True
ASRI,Andrew Charles Walker,DIREKTUR,False
ASRM,Syahril,DIREKTUR UTAMA,True
ASSA,Drs. Prodjo Sunarjanto Sekar Pantjawati,PRESIDEN DIREKTUR,True
ATIC,Harry Surjanto Hambali,PRESIDEN DIREKTUR,False
AUTO,Hamdani Dzulkarnaen Salim,PRESIDEN DIREKTUR,True
AYLS,Akam,DIREKTUR,False
BABP,Mahdan,PRESIDEN DIREKTUR,True
BACA,Wahyu Dwi Aji,DIREKTUR UTAMA,True
BAJA,Handaja Susanto,DIREKTUR UTAMA,True
BALI,Jap Owen Ronadhi,DIREKTUR UTAMA,True
BAPA,Salomon Adiwarna,DIREKTUR UTAMA,False
BAPI,"H. Agung Hadi Tjahjanto,SE",DIREKTUR UTAMA,True
BATA,Inderpreet Singh Bhatia,PRESIDEN DIREKTUR,True
BAYU,Agustinus Kasjaya Pake Seko,DIREKTUR UTAMA,True
BBCA,Jahja Setiaatmadja,PRESIDEN DIREKTUR,True
BBHI,Harry Abbas,DIREKTUR,False
BBKP,RIvan A. Purwantono,DIREKTUR UTAMA,True
BBLD,Yannuar Alin,DIREKTUR UTAMA,False
BBMD,Andy,DIREKTUR,False
BBNI,Royke Tumilaar ,DIREKTUR UTAMA,False
BBRI,Sunarso,DIREKTUR UTAMA,False
BBRM,Peter,DIREKTUR UTAMA,False
BBSI,Laniwati Tjandra,DIREKTUR UTAMA,False
BBSS,Felix Soesanto,DIREKTUR UTAMA,True
BBTN,Pahala Nugraha Mansury,DIREKTUR UTAMA,False
BBYB,Tjandra Gunawan,DIREKTUR UTAMA,False
BCAP,Wito Mailoa,DIREKTUR UTAMA,True
BCIC,Ritsuo Fukadai ,DIREKTUR UTAMA,True
BCIP,Edward Halim,DIREKTUR UTAMA,False
BDMN,Yasushi Itagaki,DIREKTUR UTAMA,True
BEEF,Yustinus Sadmoko,DIREKTUR UTAMA,False
BEKS,Fahmi Bagus Mahesa,DIREKTUR UTAMA,False
BELL,Karsongno Wongso Djaja,DIREKTUR UTAMA,True
BESS,Wisnu Wahyudin Pettalolo,DIREKTUR UTAMA,False
BEST,Yoshihiro Kobi,DIREKTUR UTAMA,False
BFIN,Francis Lay Sioe Ho,PRESIDEN DIREKTUR,True
BGTG,Lisawati,PRESIDEN DIREKTUR,False
BHAT,Dimas Teguh Mulyanto,DIREKTUR UTAMA,False
BHIT,Darma Putra,DIREKTUR UTAMA,True
BIKA,Budianto Halim,DIREKTUR UTAMA,False
BIMA,Bambang Setiyono,DIREKTUR UTAMA,False
BINA,Daniel Budirahayu,DIREKTUR UTAMA,True
BIPI,Raymond Anthony Gerungan,DIREKTUR UTAMA,False
BIPP,ARIANTO SJARIEF,PRESIDEN DIREKTUR,True
BIRD,Noni Sri Ayati Purnomo,DIREKTUR UTAMA,True
BISI,Jemmy Eka Putra,DIREKTUR UTAMA,True
BJBR,YUDDY RENALDI,DIREKTUR UTAMA,False
BJTM,Busrul Iman,DIREKTUR UTAMA,True
BKDP,Hendro Sumampow,DIREKTUR UTAMA,True
BKSL,TJETJE MULJANTO,PRESIDEN DIREKTUR,True
BKSW,Stewart Donald Hall,DIREKTUR UTAMA,True
BLTA,Siana Anggraeni Surya,DIREKTUR UTAMA,False
BLTZ,"Kim, Kyoung Tae ",DIREKTUR UTAMA,True
BLUE,Herman Tansri,DIREKTUR UTAMA,True
BMAS,Herman Halim,DIREKTUR UTAMA,True
BMRI,Royke Tumilaar,DIREKTUR UTAMA,False
BMSR,Welly Thomas,DIREKTUR UTAMA,True
BMTR,Hary Tanoesoedibjo,DIREKTUR UTAMA,True
BNBA,Wikan Aryono S,PRESIDEN DIREKTUR,False
BNBR,Anindya Novyan Bakrie,DIREKTUR UTAMA,True
BNGA,Tigor M. Siahaan,PRESIDEN DIREKTUR,False
BNII,Taswin Zakaria,PRESIDEN DIREKTUR,True
BNLI,Ridha DM Wirakusumah,DIREKTUR UTAMA,True
BOGA,Hendricus A.Hormein,DIREKTUR UTAMA,True
BOLA,Yabes Tanuri,DIREKTUR UTAMA,True
BOLT,Ervin Wijaya,DIREKTUR UTAMA,False
BOSS,Freddy Tedjasasmita,DIREKTUR UTAMA,False
BPFI,MARKUS DINARTO PRANOTO,DIREKTUR UTAMA,True
BPII,Rudi Setiadi Tjahjono,DIREKTUR UTAMA,True
BPTR,Paulus Handigdo,DIREKTUR UTAMA,True
BRAM,Mehmet Zeki Kanadikirik,PRESIDEN DIREKTUR,True
BRIS,Ngatari,DIREKTUR UTAMA,False
BRMS,Suseno Kramadibrata,DIREKTUR UTAMA,True
BRNA,Pujihasana Wijaya,PRESIDEN DIREKTUR,True
BRPT,Agus Salim Pangestu,DIREKTUR UTAMA,False
BSDE,Franciscus Xaverius RD,PRESIDEN DIREKTUR,False
BSIM,Frenky Tirtowijoyo,DIREKTUR UTAMA,True
BSSR,Doddy Imam Hidayat,DIREKTUR UTAMA,True
BSWD,Sindbad Rijadi Hardjodipuro,DIREKTUR UTAMA,True
BTEK,Dhanny Cahyadi,DIREKTUR UTAMA,True
BTEL,Harya Mitra Hidayat,DIREKTUR UTAMA,True
BTON,Gwie Gunadi Gunawan,DIREKTUR UTAMA,False
BTPN,Ongki Wanadjati Dana,DIREKTUR UTAMA,True
BTPS,Hadi Wibowo,DIREKTUR UTAMA,True
BUDI,Santoso Winata,PRESIDEN DIREKTUR,False
BUKK,Irsal Kamarudin,DIREKTUR UTAMA,True
BULL,Wong Kevin,DIREKTUR UTAMA,True
BUMI,Saptari Hoedaja,PRESIDEN DIREKTUR,True
BUVA,FRANKY TJAHYADIKARTA,DIREKTUR UTAMA,True
BVIC,Ahmad Fajar,DIREKTUR UTAMA,False
BWPT,Ramesh Veloo,DIREKTUR UTAMA,True
BYAN,Dato' Dr. Low Tuck Kwong,DIREKTUR UTAMA,True
CAKK,Johan Silitonga,DIREKTUR UTAMA,True
CAMP,Samudera Prawirawidjaja,PRESIDEN DIREKTUR,False
CANI,SUTA WIJAYA,DIREKTUR UTAMA,True
CARE,"Ir. Henry Kembaren, MM",DIREKTUR UTAMA,False
CARS,Sebastianus Harno Budi,DIREKTUR UTAMA,True
CASA,Hengky Setiono,DIREKTUR UTAMA,True
CASH,Tee Teddy Setiawan,PRESIDEN DIREKTUR,True
CASS,Randy Pangalila,PRESIDEN DIREKTUR,False
CBMF,Suwandi,DIREKTUR UTAMA,False
CCSI,Peter Djatmiko,DIREKTUR UTAMA,True
CEKA,Erry Tjuatja,PRESIDEN DIREKTUR,True
CENT,Yan Raymond Jafri,DIREKTUR UTAMA,True
CFIN,Gita Puspa K Darmawan,DIREKTUR UTAMA,True
CINT,KAZUHIKO AMINAKA,DIREKTUR UTAMA,True
CITA,Harry Kesuma Tanoto,DIREKTUR UTAMA,True
CITY,Elfi Darlis,DIREKTUR UTAMA,True
CLAY,Firman M Silalahi,DIREKTUR UTAMA,True
CLEO,Belinda Natalia,DIREKTUR UTAMA,True
