ticker,Nama,Jenis,TahunBuku,TotalSahamBonus,CashDividenPerSahamMU,CashDividenPerSaham,TanggalCum,TanggalExRegulerDanNegosiasi,TanggalDPS,TanggalPembayaran,Rasio1,Rasio2,CashDividenTotalMU,CashDividenTotal
AALI,Astra Agro Lestari Tbk,dt,2018,0.0,,0.0,2019-04-24T00:00:00,2019-04-25T00:00:00,2019-04-26T16:00:00,2019-05-16T00:00:00,0.0,0.0,IDR,646695279888.0
ABBA,,,,,,,,,,,,,,
ABDA,Asuransi Bina Dana Arta Tbk,dt,2019,0.0,IDR,60.0,2020-08-03T00:00:00,2020-08-04T00:00:00,2020-08-05T16:00:00,2020-08-26T00:00:00,0.0,0.0,IDR,37248400800.0
ABMM,ABM Investama Tbk,dt,2019,0.0,,0.0,2020-06-26T00:00:00,2020-06-29T00:00:00,2020-06-30T16:00:00,2020-07-22T00:00:00,0.0,0.0,IDR,36250000000.0
ACES,Ace Hardware Indonesia Tbk,dti,2019,0.0,IDR,18.0,2020-08-13T00:00:00,2020-08-14T00:00:00,2020-08-18T16:00:00,2020-09-04T00:00:00,0.0,0.0,IDR,309286244180.0
ACST,PT Acset Indonusa Tbk.,dt,2018,0.0,,0.0,2019-04-22T00:00:00,2019-04-23T00:00:00,2019-04-24T16:00:00,2019-04-29T00:00:00,0.0,0.0,IDR,3500000000.0
ADES,,,,,,,,,,,,,,
ADFO,,,,,,,,,,,,,,
ADHI,PT Adhi Karya (Persero) Tbk.,dt,2019,0.0,,0.0,2020-06-12T00:00:00,2020-06-15T00:00:00,2020-06-16T16:15:00,2020-07-08T00:00:00,0.0,0.0,IDR,66380624757.0
ADMF,Adira Dinamika Multi Finance Tbk,dt,2019,0.0,IDR,1055.0,2020-04-08T00:00:00,2020-04-09T00:00:00,2020-04-13T16:00:00,2020-04-30T00:00:00,0.0,0.0,IDR,1054500000000.0
ADMG,,,,,,,,,,,,,,
ADRO,ADARO ENERGY Tbk,dt,2019,0.0,USD,0.0,2020-06-03T00:00:00,2020-06-04T00:00:00,2020-06-05T16:00:00,2020-06-19T00:00:00,0.0,0.0,USD,250130223.0
AGAR,,,,,,,,,,,,,,
AGII,PT Aneka Gas Industri Tbk.,dt,2018,0.0,IDR,3.0,2019-06-20T00:00:00,2019-06-21T00:00:00,2019-06-24T16:15:00,2019-07-11T00:00:00,0.0,0.0,,0.0
AGRO,PT Bank Rakyat Indonesia Agroniaga Tbk,dt,2018,0.0,,0.0,2019-04-08T00:00:00,2019-04-09T00:00:00,2019-04-10T16:00:00,2019-04-30T00:00:00,0.0,0.0,IDR,40842524631.0
AGRS,,,,,,,,,,,,,,
AHAP,Asuransi Harta Aman Pratama Tbk,dt,2016,0.0,,0.0,2017-06-20T00:00:00,2017-06-21T00:00:00,2017-07-03T16:15:00,2017-07-14T00:00:00,0.0,0.0,IDR,840000000.0
AIMS,,,,,,,,,,,,,,
AISA,Tiga Pilar Sejahtera Food Tbk,dt,2013,0.0,IDR,9.0,2014-12-24T00:00:00,2014-12-29T00:00:00,2015-01-02T16:00:00,2015-01-14T00:00:00,0.0,0.0,IDR,24871000000.0
AKKU,,,,,,,,,,,,,,
AKPI,Argha Karya Prima Ind. Tbk,dt,2018,0.0,,0.0,2019-05-31T00:00:00,2019-06-10T00:00:00,2019-06-11T16:00:00,2019-06-21T00:00:00,0.0,0.0,IDR,7346976000.0
AKRA,PT AKR Corporindo Tbk.,dti,2020,0.0,IDR,50.0,2020-08-04T00:00:00,2020-08-05T00:00:00,2020-08-06T16:00:00,2020-08-13T00:00:00,0.0,0.0,IDR,197371696000.0
AKSI,MAJAPAHIT SECURITIES Tbk,Tunai Final,2009,0.0,,0.0,2010-06-10T00:00:00,2010-06-11T00:00:00,1900-01-01T00:00:00,2010-06-29T00:00:00,0.0,0.0,,2160000000.0
ALDO,Alkindo Naratama Tbk,dt,2019,0.0,,0.0,2020-08-26T00:00:00,2020-08-27T00:00:00,2020-08-28T16:00:00,2020-09-17T00:00:00,0.0,0.0,IDR,1210000000.0
ALKA,,,,,,,,,,,,,,
ALMI,Alumindo Light Metal Industry Tbk,dt,2013,0.0,,0.0,2014-10-02T00:00:00,2014-10-03T00:00:00,2014-10-07T16:00:00,2014-10-21T00:00:00,0.0,0.0,IDR,0.0
ALTO,,,,,,,,,,,,,,
AMAG,Asuransi Multi Artha Guna Tbk,dt,2019,0.0,,0.0,2020-07-28T00:00:00,2020-07-29T00:00:00,2020-07-30T16:15:00,2020-08-06T00:00:00,0.0,0.0,IDR,150046575480.0
AMAN,,,,,,,,,,,,,,
AMAR,PT Bank Amar Indonesia Tbk.,dt,2019,0.0,IDR,4.0,2020-09-03T00:00:00,2020-09-04T00:00:00,2020-09-07T16:00:00,2020-09-25T00:00:00,0.0,0.0,IDR,30713262281.0
AMFG,Asahimas Flat Glass Tbk,dt,2018,0.0,IDR,30.0,2019-07-01T00:00:00,2019-07-02T00:00:00,2019-07-03T16:15:00,2019-07-23T00:00:00,0.0,0.0,IDR,13020000000.0
AMIN,PT Ateliers Mecaniques D Indonesie Tbk.,dt,2018,0.0,IDR,8.0,2019-06-28T00:00:00,2019-07-01T00:00:00,2019-07-02T16:15:00,2019-07-22T00:00:00,0.0,0.0,IDR,8640000000.0
AMOR,,,,,,,,,,,,,,
AMRT,PT Sumber Alfaria Trijaya Tbk.,dt,2019,0.0,IDR,13.0,2020-05-27T00:00:00,2020-05-28T00:00:00,2020-05-29T16:00:00,2020-06-12T00:00:00,0.0,0.0,IDR,555597832746.0
ANDI,,,,,,,,,,,,,,
ANJT,PT Austindo Nusantara Jaya Tbk.,dt,2017,0.0,IDR,12.0,2018-05-21T00:00:00,2018-05-22T00:00:00,2018-05-24T16:00:00,2018-06-08T00:00:00,0.0,0.0,IDR,39738064656.0
ANTM,Aneka Tambang Tbk.,dt,2018,0.0,,0.0,2019-05-03T00:00:00,2019-05-06T00:00:00,2019-05-07T16:15:00,2019-05-24T00:00:00,0.0,0.0,IDR,306048760607.0
APEX,,,,,,,,,,,,,,
APIC,PACIFIC STRATEGIC FINANCIAL Tbk,Tunai Final,2010,0.0,,0.0,2011-10-05T00:00:00,2011-10-06T00:00:00,1900-01-01T00:00:00,2011-10-24T00:00:00,0.0,0.0,,140023750.0
APII,PT Arita Prima Indonesia Tbk.,dt,2016,0.0,,0.0,2017-06-15T00:00:00,2017-06-16T00:00:00,2017-06-20T16:00:00,2017-07-12T00:00:00,0.0,0.0,IDR,3227280000.0
APLI,Asiaplast Industries Tbk,Tunai Final,2010,0.0,,0.0,2011-07-21T00:00:00,2011-07-22T00:00:00,1900-01-01T00:00:00,2011-08-09T00:00:00,0.0,0.0,,30000000000.0
APLN,PT Agung Podomoro Land Tbk.,dt,2016,0.0,,0.0,2017-06-19T00:00:00,2017-06-20T00:00:00,2017-06-22T16:15:00,2017-07-12T00:00:00,0.0,0.0,IDR,38729123400.0
ARGO,,,,,,,,,,,,,,
ARII,,,,,,,,,,,,,,
ARKA,,,,,,,,,,,,,,
ARMY,,,,,,,,,,,,,,
ARNA,Arwana Citramulia Tbk,dt,2019,0.0,,0.0,2020-03-11T00:00:00,2020-03-12T00:00:00,2020-03-13T16:00:00,2020-03-24T00:00:00,0.0,0.0,IDR,161190475072.0
ARTA,,,,,,,,,,,,,,
ARTI,,,,,,,,,,,,,,
ARTO,,,,,,,,,,,,,,
ASBI,Asuransi Bintang Tbk,dt,2019,0.0,,0.0,2020-07-22T00:00:00,2020-07-23T00:00:00,2020-07-24T16:00:00,2020-08-12T00:00:00,0.0,0.0,IDR,1985802890.0
ASDM,Asuransi Dayin Mitra Tbk,dt,2019,0.0,IDR,78.0,2020-06-18T00:00:00,2020-06-19T00:00:00,2020-06-22T16:15:00,2020-07-10T00:00:00,0.0,0.0,IDR,14976000000.0
ASGR,Astra Graphia Tbk,dt,2019,0.0,IDR,49.0,2020-06-18T00:00:00,2020-06-19T00:00:00,2020-06-22T16:00:00,2020-07-06T00:00:00,0.0,0.0,IDR,66678055760.0
ASII,Astra International Tbk,dt,2019,0.0,IDR,157.0,2020-06-24T00:00:00,2020-06-25T00:00:00,2020-06-26T16:00:00,2020-07-10T00:00:00,0.0,0.0,IDR,6355917842980.0
ASJT,Asuransi Jasa Tania Tbk,dt,2018,0.0,IDR,21.0,2019-06-27T00:00:00,2019-06-28T00:00:00,2019-07-01T16:00:00,2019-07-19T00:00:00,0.0,0.0,IDR,12510163588.0
