No,IndexSummaryID,Date,IndexCode,Previous,Highest,Lowest,Close,NumberOfStock,Change,Volume,Value,Frequency,MarketCapital,Year
1,63103,2015-01-02T00:00:00,COMPOSITE,5226.947,5247.938,5230.75,5242.769,507.0,15.822,5136570194.0,4603436520626.0,155760.0,5241129028477460.0,2015
2,63104,2015-01-02T00:00:00,AGRI,2351.035,2379.567,2351.17,2367.086,21.0,16.051,363390500.0,215592581800.0,14200.0,162885874665590.0,2015
3,63105,2015-01-02T00:00:00,MINING,1368.999,1375.38,1364.718,1368.873,41.0,-0.126,783777600.0,198921031700.0,13814.0,255033481716411.0,2015
4,63106,2015-01-02T00:00:00,BASIC-IND,543.674,545.99,541.495,541.833,65.0,-1.841,501886150.0,310575864100.0,16593.0,380344863735512.0,2015
5,63107,2015-01-02T00:00:00,MISC-IND,1307.073,1314.487,1292.78,1300.555,41.0,-6.518,105519000.0,132431124600.0,5376.0,370642053982396.0,2015
6,63108,2015-01-02T00:00:00,CONSUMER,2177.919,2207.544,2179.156,2205.275,37.0,27.356,192882200.0,871208651200.0,13800.0,1020919169631200.0,2015
7,63109,2015-01-02T00:00:00,PROPERTY,524.908,533.476,525.377,532.963,54.0,8.055,1441825645.0,940368693385.0,32508.0,365528674633056.0,2015
8,63110,2015-01-02T00:00:00,INFRASTRUC,1160.284,1165.95,1156.266,1156.63,51.0,-3.654,657301416.0,314211117480.0,21070.0,740885986261124.0,2015
9,63111,2015-01-02T00:00:00,FINANCE,731.64,734.765,729.727,733.319,85.0,1.679,387445205.0,842793667025.0,13684.0,1317788895574270.0,2015
10,63112,2015-01-02T00:00:00,TRADE,878.634,881.191,875.854,881.191,112.0,2.557,702542478.0,777333789336.0,24715.0,627100028277896.0,2015
11,63113,2015-01-02T00:00:00,MANUFACTUR,1335.205,1343.781,1337.569,1340.496,143.0,5.291,800287350.0,1314215639900.0,35769.0,1771906087349110.0,2015
12,63114,2015-01-02T00:00:00,LQ45,898.581,903.562,899.542,903.13,45.0,4.549,857804612.0,2912035364365.0,71992.0,3354324616130000.0,2015
13,63115,2015-01-02T00:00:00,JII,691.039,695.505,692.406,694.473,30.0,3.434,657223078.0,1963529702130.0,50452.0,1954194401288760.0,2015
14,63116,2015-01-02T00:00:00,MBX,1506.885,1513.807,1508.326,1513.454,255.0,6.569,2455842371.0,3676168164005.0,112062.0,4682942248230720.0,2015
15,63117,2015-01-02T00:00:00,DBX,721.662,721.674,716.439,716.439,252.0,-5.223,2680727823.0,927268356621.0,43698.0,558186780246738.0,2015
16,63118,2015-01-02T00:00:00,KOMPAS100,1144.633,1150.168,1145.719,1149.639,100.0,5.006,3170255381.0,3926108813080.0,107893.0,3780314128130050.0,2015
