ticker,KodeEmiten,NamaSeri,AmortisasiValue,SinkingFund,CouponPaymentDetail,MatureDate,id,CouponDetail
AALI,,,,,,,,
ABBA,,,,,,,,
ABDA,,,,,,,,
ABMM,,,,,,,,
ACES,,,,,,,,
ACST,,,,,,,,
ADES,,,,,,,,
ADFO,,,,,,,,
ADHI,ADHI,-,-,-,1900-01-01T00:00:00,1900-01-01T00:00:00,1.0,-
ADMF,ADMF,-,-,-,1900-01-01T00:00:00,1900-01-01T00:00:00,1.0,-
ADMG,,,,,,,,
ADRO,,,,,,,,
AGAR,,,,,,,,
AGII,AGII,-,-,-,1900-01-01T00:00:00,1900-01-01T00:00:00,1.0,-
AGRO,,,,,,,,
AGRS,,,,,,,,
AHAP,,,,,,,,
AIMS,,,,,,,,
AISA,,,,,,,,
AKKU,,,,,,,,
AKPI,,,,,,,,
AKRA,,,,,,,,
AKSI,,,,,,,,
ALDO,,,,,,,,
ALKA,,,,,,,,
ALMI,,,,,,,,
ALTO,,,,,,,,
AMAG,,,,,,,,
AMAN,,,,,,,,
AMAR,,,,,,,,
AMFG,,,,,,,,
AMIN,,,,,,,,
AMOR,,,,,,,,
AMRT,AMRT,-,-,-,1900-01-01T00:00:00,1900-01-01T00:00:00,1.0,-
ANDI,,,,,,,,
ANJT,,,,,,,,
ANTM,,,,,,,,
APEX,,,,,,,,
APIC,,,,,,,,
APII,,,,,,,,
APLI,,,,,,,,
APLN,,,,,,,,
ARGO,,,,,,,,
ARII,,,,,,,,
ARKA,,,,,,,,
ARMY,,,,,,,,
ARNA,,,,,,,,
ARTA,,,,,,,,
ARTI,,,,,,,,
ARTO,,,,,,,,
ASBI,,,,,,,,
ASDM,,,,,,,,
ASGR,,,,,,,,
ASII,,,,,,,,
ASJT,,,,,,,,
ASMI,,,,,,,,
ASPI,,,,,,,,
ASRI,,,,,,,,
ASRM,,,,,,,,
ASSA,,,,,,,,
ATIC,,,,,,,,
AUTO,,,,,,,,
AYLS,,,,,,,,
BABP,,,,,,,,
BACA,,,,,,,,
BAJA,,,,,,,,
BALI,BALI,-,-,-,1900-01-01T00:00:00,1900-01-01T00:00:00,1.0,-
BAPA,,,,,,,,
BAPI,,,,,,,,
BATA,,,,,,,,
BAYU,,,,,,,,
BBCA,BBCA,Obligasi Subordinasi Berkelanjutan I Bank Central Asia Tahap I Tahun 2018 Seri B,-,-,2018-10-05T00:00:00,2030-07-05T00:00:00,1.0,1
BBHI,,,,,,,,
BBKP,,,,,,,,
BBLD,,,,,,,,
BBMD,,,,,,,,
BBNI,,,,,,,,
BBRI,BBRI,-,-,-,1900-01-01T00:00:00,1900-01-01T00:00:00,1.0,-
BBRM,,,,,,,,
BBSI,,,,,,,,
BBSS,,,,,,,,
BBTN,BBTN,-,-,-,1900-01-01T00:00:00,1900-01-01T00:00:00,1.0,-
BBYB,,,,,,,,
BCAP,BCAP,-,-,-,1900-01-01T00:00:00,1900-01-01T00:00:00,1.0,-
BCIC,,,,,,,,
BCIP,,,,,,,,
BDMN,BDMN,-,-,-,1900-01-01T00:00:00,1900-01-01T00:00:00,1.0,-
BEEF,,,,,,,,
BEKS,,,,,,,,
BELL,,,,,,,,
BESS,,,,,,,,
BEST,,,,,,,,
BFIN,BFIN,-,-,-,1900-01-01T00:00:00,1900-01-01T00:00:00,1.0,-
BGTG,,,,,,,,
BHAT,,,,,,,,
BHIT,,,,,,,,
BIKA,,,,,,,,
BIMA,,,,,,,,
BINA,,,,,,,,
BIPI,,,,,,,,
BIPP,,,,,,,,
BIRD,,,,,,,,
BISI,,,,,,,,
BJBR,BJBR,-,-,-,1900-01-01T00:00:00,1900-01-01T00:00:00,1.0,-
BJTM,,,,,,,,
BKDP,,,,,,,,
BKSL,,,,,,,,
BKSW,BKSW,-,-,-,1900-01-01T00:00:00,1900-01-01T00:00:00,1.0,-
BLTA,,,,,,,,
BLTZ,,,,,,,,
BLUE,,,,,,,,
BMAS,,,,,,,,
BMRI,BMRI,-,-,-,1900-01-01T00:00:00,1900-01-01T00:00:00,1.0,-
BMSR,,,,,,,,
BMTR,BMTR,-,-,-,1900-01-01T00:00:00,1900-01-01T00:00:00,1.0,-
BNBA,,,,,,,,
BNBR,,,,,,,,
BNGA,BNGA,-,-,-,1900-01-01T00:00:00,1900-01-01T00:00:00,1.0,-
BNII,BNII,-,-,-,1900-01-01T00:00:00,1900-01-01T00:00:00,1.0,-
BNLI,,,,,,,,
BOGA,,,,,,,,
