ticker,AkhirPeriode,KAP1,Nama,SigningPartner,TahunBuku,TanggalTahunBuku,TglOpini
AALI,,,,,,,
ABBA,,,,,,,
ABDA,,,,,,,
ABMM,,,,,,,
ACES,,,,,,,
ACST,,,,,,,
ADES,,,,,,,
ADFO,1911-01-01T00:00:00,,"Paul Hadiwinata, Hidajat, Arsono, Retno, Palilingan & Rekan",,0.0,2020-12-31T00:00:00,1911-01-01T00:00:00
ADHI,,,,,,,
ADMF,,,,,,,
ADMG,,,,,,,
ADRO,,,,,,,
AGAR,1911-01-01T00:00:00,,Noor Salim &Rekan,,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
AGII,,,,,,,
AGRO,,,,,,,
AGRS,,,,,,,
AHAP,,,,,,,
AIMS,,,,,,,
AISA,,,,,,,
AKKU,,,,,,,
AKPI,,,,,,,
AKRA,,,,,,,
AKSI,,,,,,,
ALDO,,,,,,,
ALKA,,,,,,,
ALMI,,,,,,,
ALTO,,,,,,,
AMAG,,,,,,,
AMAN,1911-01-01T00:00:00,,Rama Wendra,,0.0,2019-08-31T00:00:00,1911-01-01T00:00:00
AMAR,1911-01-01T00:00:00,,KAP Imelda dan Rekan,,0.0,2019-06-30T00:00:00,1911-01-01T00:00:00
AMFG,,,,,,,
AMIN,,,,,,,
AMOR,1911-01-01T00:00:00,,Siddharta & Widjaja,,0.0,2019-06-30T00:00:00,1911-01-01T00:00:00
AMRT,,,,,,,
ANDI,1911-01-01T00:00:00,,"Herman, Dody Tanumihardja & Rekan",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
ANJT,,,,,,,
ANTM,,,,,,,
APEX,,,,,,,
APIC,,,,,,,
APII,,,,,,,
APLI,,,,,,,
APLN,,,,,,,
ARGO,,,,,,,
ARII,,,,,,,
ARKA,,,,,,,
ARMY,,,,,,,
ARNA,,,,,,,
ARTA,,,,,,,
ARTI,,,,,,,
ARTO,,,,,,,
ASBI,,,,,,,
ASDM,,,,,,,
ASGR,,,,,,,
ASII,,,,,,,
ASJT,,,,,,,
ASMI,,,,,,,
ASPI,1911-01-01T00:00:00,,Heliantono & Rekan,,0.0,2019-08-31T00:00:00,1911-01-01T00:00:00
ASRI,,,,,,,
ASRM,,,,,,,
ASSA,,,,,,,
ATIC,,,,,,,
AUTO,,,,,,,
AYLS,1911-01-01T00:00:00,,"Junaedi, Chairul dan Rekan",,0.0,2019-07-31T00:00:00,1911-01-01T00:00:00
BABP,,,,,,,
BACA,,,,,,,
BAJA,,,,,,,
BALI,,,,,,,
BAPA,,,,,,,
BAPI,,,,,,,
BATA,,,,,,,
BAYU,,,,,,,
BBCA,,,,,,,
BBHI,,,,,,,
BBKP,,,,,,,
BBLD,,,,,,,
BBMD,,,,,,,
BBNI,,,,,,,
BBRI,,,,,,,
BBRM,,,,,,,
BBSI,1911-01-01T00:00:00,,"Doli, Bambang, Sulistiyanto, Dadang & Ali",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
BBSS,1911-01-01T00:00:00,,Maurice Ganda Nainggolan & Rekan,,0.0,2019-09-30T00:00:00,1911-01-01T00:00:00
BBTN,,,,,,,
BBYB,,,,,,,
BCAP,,,,,,,
BCIC,,,,,,,
BCIP,,,,,,,
BDMN,,,,,,,
BEEF,,,,,,,
BEKS,,,,,,,
BELL,,,,,,,
BESS,1911-01-01T00:00:00,,"Kosasih, Nurdiyaman, Mulyadi, Tjahjo & Rekan",,0.0,2019-08-31T00:00:00,1911-01-01T00:00:00
BEST,,,,,,,
BFIN,,,,,,,
BGTG,,,,,,,
BHAT,1911-01-01T00:00:00,,"Antadaya, Helmiansyah dan Yassirli",,0.0,2019-10-31T00:00:00,1911-01-01T00:00:00
BHIT,,,,,,,
BIKA,,,,,,,
BIMA,,,,,,,
BINA,,,,,,,
BIPI,,,,,,,
BIPP,,,,,,,
BIRD,,,,,,,
BISI,,,,,,,
BJBR,,,,,,,
BJTM,,,,,,,
BKDP,,,,,,,
BKSL,,,,,,,
BKSW,,,,,,,
BLTA,,,,,,,
BLTZ,,,,,,,
BLUE,1911-01-01T00:00:00,,KAP Johannes Juara & Rekan,,0.0,2020-01-07T00:00:00,1911-01-01T00:00:00
BMAS,,,,,,,
BMRI,,,,,,,
BMSR,,,,,,,
BMTR,,,,,,,
BNBA,,,,,,,
BNBR,,,,,,,
BNGA,,,,,,,
BNII,,,,,,,
BNLI,,,,,,,
