ticker,Nama,Jabatan,Independen
AALI,CHIEW SIN CHEOK,PRESIDEN KOMISARIS,False
ABBA,R. Harry Zulnardy,KOMISARIS UTAMA,False
ABDA,Ronni Widjaja,KOMISARIS,True
ABMM,Rachmat Mulyana Hamami,KOMISARIS UTAMA,False
ACES,KUNCORO WIBOWO,KOMISARIS UTAMA,False
ACST,Frans Kesuma,PRESIDEN KOMISARIS,False
ADES,Hanjaya Limanto,PRESIDEN KOMISARIS,False
ADFO,,,
ADHI,DODY USODO HARGO,KOMISARIS UTAMA,False
ADMF,Yasushi Itagaki,KOMISARIS UTAMA,False
ADMG,"Bacelius Ruru, SH ",PRESIDEN KOMISARIS,True
ADRO,Edwin Soeryadjaya,PRESIDEN KOMISARIS,False
AGAR,Bayu Aji,KOMISARIS UTAMA,False
AGII,ARIEF HARSONO,KOMISARIS UTAMA,False
AGRO,Anna Maria Tjiadarma,KOMISARIS,True
AGRS,Paulus Nurwadono,KOMISARIS UTAMA,False
AHAP,Adhi Indrawan,KOMISARIS UTAMA,False
AIMS,Paido Sahala Marulitua,KOMISARIS UTAMA,False
AISA,Hengky Koestanto,KOMISARIS UTAMA,False
AKKU,DHARMITHEA KIEMAS HAMIDY,PRESIDEN KOMISARIS,False
AKPI,ANDRY PRIBADI,KOMISARIS UTAMA,False
AKRA,Soegiarto Adikoesoemo,PRESIDEN KOMISARIS,False
AKSI,Rosmaria Parlindungan,KOMISARIS UTAMA,False
ALDO,Lili Mulyadi Sutanto,Komisaris Utama,False
ALKA,Hilton Barki,PRESIDEN KOMISARIS,False
ALMI,"Welly Muliawan, Lie",KOMISARIS UTAMA,False
ALTO,Edwin Kosasih,KOMISARIS UTAMA,False
AMAG,Ramaswamy Athappan,PRESIDEN KOMISARIS,False
AMAN,Johan Tedja Surya,KOMISARIS UTAMA,False
AMAR,Navin Nahata,KOMISARIS UTAMA,False
AMFG,Tan Pei Ling ,PRESIDEN KOMISARIS,False
AMIN,Juliani,PRESIDEN KOMISARIS,False
AMOR,Thomas Adam Shippey,PRESIDEN KOMISARIS,False
AMRT,Feny Djoko Susanto,PRESIDEN KOMISARIS,False
ANDI,Billy Ching,KOMISARIS UTAMA,False
ANJT,Adrianto Machribie,KOMISARIS UTAMA,True
ANTM,Agus Surya Bakti ,KOMISARIS UTAMA,False
APEX,Irawan Sastrotanojo,KOMISARIS UTAMA,False
APIC,Jon Adijaya,KOMISARIS UTAMA,False
APII,Bernadetha Melinda Kirana Putri,KOMISARIS,True
APLI,Alexander Agung Pranoto,KOMISARIS UTAMA,False
APLN,Letjen. TNI (Purn) Sofian Effendi,KOMISARIS UTAMA,True
ARGO,The Nicholas,KOMISARIS UTAMA,False
ARII,Jay T. Oentoro,PRESIDEN KOMISARIS,False
ARKA,Devon Widodo Prawiroyudo,KOMISARIS UTAMA,False
ARMY,Raden Agus Santosa,KOMISARIS UTAMA,False
ARNA,Prof. Dr. Marsetio,KOMISARIS UTAMA,False
ARTA,"Henry F. Jusuf, MA",KOMISARIS UTAMA,False
ARTI,Derek Prabu Maras,KOMISARIS UTAMA,False
ARTO,Jerry Ng,KOMISARIS UTAMA,False
ASBI,Shanti L.Poeposoetjipto,PRESIDEN KOMISARIS,False
ASDM,Bustomi Usman,PRESIDEN KOMISARIS,False
ASGR,Santosa,PRESIDEN KOMISARIS,False
ASII,Prijono Sugiarto,PRESIDEN KOMISARIS,False
ASJT,Alexander Maha,KOMISARIS UTAMA,False
ASMI,MAGIT LES DENNY TEWU,KOMISARIS UTAMA,False
ASPI,Teddi Budiman,KOMISARIS UTAMA,False
ASRI,Harjanto Tirtohadiguno,KOMISARIS UTAMA,False
ASRM,Dr. A. Winoto Doeriat,KOMISARIS,False
ASSA,Erida,PRESIDEN KOMISARIS,False
ATIC,Handoko Anidnya Tanuadji,PRESIDEN KOMISARIS,False
AUTO,Gidion Hasan,PRESIDEN KOMISARIS,False
AYLS,Hidayat Winardi,KOMISARIS UTAMA,False
BABP,Ponky Nayarana Pudijanto,PRESIDEN KOMISARIS,True
BACA,Danny Nugroho,KOMISARIS UTAMA,False
BAJA,Soediarto Soerjoprahono,KOMISARIS UTAMA,False
BALI,Makmur Jaury,KOMISARIS UTAMA,False
BAPA,Christian Salim,KOMISARIS UTAMA,False
BAPI,H. Abdul Zafar,KOMISARIS UTAMA,False
BATA,Rajeev Gopalakrishnan,PRESIDEN KOMISARIS,False
BAYU,Thio Gwan Po Micky,KOMISARIS UTAMA,False
BBCA,Djohan Emir Setijoso,PRESIDEN KOMISARIS,False
BBHI,Novita Hakim,KOMISARIS UTAMA,False
BBKP,Mustafa Abubakar,KOMISARIS UTAMA,True
BBLD,Siang Hadi Widjaja,KOMISARIS UTAMA,False
BBMD,Witarsa Oemar,PRESIDEN KOMISARIS,False
BBNI,Agus Dermawan Wintarto Martowardojo,KOMISARIS UTAMA,True
BBRI,Kartika Wirjoatmodjo,KOMISARIS UTAMA,False
BBRM,Latip,KOMISARIS UTAMA,False
BBSI,Sundjono Suriadi,KOMISARIS UTAMA,False
BBSS,Budi Kasan Besari Adinagoro,KOMISARIS UTAMA,False
BBTN,Chandra M. Hamzah,KOMISARIS UTAMA,True
BBYB,Suprihadi**,KOMISARIS UTAMA,True
BCAP,Darma Putra,KOMISARIS UTAMA,False
BCIC,Nobiru Adachi,KOMISARIS UTAMA,False
BCIP,Tahir Ferdian,KOMISARIS UTAMA,False
BDMN,Takayoshi Futae,KOMISARIS UTAMA,False
BEEF,Gita Sapta Adi,KOMISARIS UTAMA,False
BEKS,Media Warman *),KOMISARIS,True
BELL,Lim Kwang Tak,KOMISARIS UTAMA,False
BESS,Sarman Simanjorang,KOMISARIS UTAMA,False
BEST,Marzuki Usman,KOMISARIS UTAMA,True
BFIN,Kusmayanto Kadiman,PRESIDEN KOMISARIS,False
BGTG,Lenny Sugihat,PRESIDEN KOMISARIS,True
BHAT,Paul Rachmat Wullur,KOMISARIS UTAMA,True
BHIT,Hary Tanoesoedibjo,KOMISARIS UTAMA,False
BIKA,Go Hengky Setiawan,KOMISARIS UTAMA,False
BIMA,Judiono Tosin,KOMISARIS UTAMA,False
BINA,Birawa Natapradja,KOMISARIS UTAMA,True
BIPI,Wibowo Suseno Wirjawan,KOMISARIS UTAMA,False
BIPP,PITER KOROMPIS,PRESIDEN KOMISARIS,True
BIRD,Kresna Priawan Djokosoetono,KOMISARIS UTAMA,False
BISI,Tjiu Thomas Effendy,KOMISARIS UTAMA,False
BJBR,FARID RAHMAN,KOMISARIS UTAMA,True
BJTM,Akhmad Sukardi,KOMISARIS UTAMA,False
BKDP,Robby Sumampow,KOMISARIS UTAMA,False
BKSL,TRANGGONO TING,PRESIDEN KOMISARIS,False
BKSW,Fareeda Ali Abulfath,KOMISARIS UTAMA,False
BLTA,Hadi Surya,KOMISARIS UTAMA,False
BLTZ,Bratanata Perdana,KOMISARIS UTAMA,False
BLUE,Rudy Tasrif,KOMISARIS UTAMA,False
BMAS,"H. Muhammad Pujiono Santoso, IR",KOMISARIS UTAMA,True
BMRI,Muhamad Chatib Basri,KOMISARIS UTAMA,True
BMSR,Hermawan,KOMISARIS UTAMA,False
BMTR,Rosano Barack,KOMISARIS UTAMA,False
BNBA,"Ir. Rachmat Mulia Suryahusada, MBA",PRESIDEN KOMISARIS,False
BNBR,Drs. Sutanto,KOMISARIS UTAMA,True
BNGA,Glenn Muhammad Surya Yusuf,WAKIL PRESIDEN KOMISARIS,True
BNII,Datuk Abdul Farid Bin Alias,PRESIDEN KOMISARIS,False
BNLI,CHARTSIRI SOPHONPANICH,KOMISARIS UTAMA,False
BOGA,Kirtiadi Hotama,KOMISARIS UTAMA,False
BOLA,Jemi Wiyono Prihadi,KOMISARIS UTAMA,False
BOLT,Herman Wijaya,KOMISARIS UTAMA,False
BOSS,Freddy Setiawan,KOMISARIS UTAMA,False
BPFI,IRENA ISTARY ISKANDAR,KOMISARIS UTAMA,False
BPII,Irena Istary Iskandar,KOMISARIS UTAMA,False
BPTR,Markus Dinarto Pranoto,KOMISARIS UTAMA,False
BRAM,Ali Caliskan,PRESIDEN KOMISARIS,False
BRIS,Parman Nataatmadja,KOMISARIS UTAMA,False
BRMS,Saptari Hoedaja,KOMISARIS UTAMA,False
BRNA,David I. Tjiptobiantoro,KOMISARIS UTAMA,False
BRPT,Prajogo Pangestu,KOMISARIS UTAMA,False
BSDE,Muktar Widjaja,PRESIDEN KOMISARIS,False
BSIM,Tjendrawati Widjaja,KOMISARIS UTAMA,False
