KodeEmiten,NamaEmiten
AALI,Astra Agro Lestari Tbk
ABBA,Mahaka Media Tbk
ABDA,Asuransi Bina Dana Arta Tbk
ABMM,ABM Investama Tbk
ACES,Ace Hardware Indonesia Tbk
ACST,PT Acset Indonusa Tbk.
ADES,Akasha Wira International Tbk  Tbk
ADFO,PT Adindo Foresta Indonesia Tbk
ADHI,PT Adhi Karya (Persero) Tbk.
ADMF,Adira Dinamika Multi Finance Tbk
ADMG,Polychem Indonesia Tbk
ADRO,ADARO ENERGY Tbk
AGAR,PT Asia Sejahtera Mina Tbk
AGII,PT Aneka Gas Industri Tbk.
AGRO,PT Bank Rakyat Indonesia Agroniaga Tbk
AGRS,PT Bank IBK Indonesia Tbk.
AHAP,Asuransi Harta Aman Pratama Tbk
AIMS,Akbar Indomakmur Stimec Tbk
AISA,Tiga Pilar Sejahtera Food Tbk
AKKU,PT Anugerah Kagum Karya Utama Tbk
AKPI,Argha Karya Prima Ind. Tbk
AKRA,PT AKR Corporindo Tbk.
AKSI,PT Maming Enam Sembilan Mineral Tbk.
ALDO,Alkindo Naratama Tbk
ALKA,Alakasa Industrindo Tbk
ALMI,Alumindo Light Metal Industry Tbk
ALTO,Tri Banyan Tirta Tbk
AMAG,Asuransi Multi Artha Guna Tbk
AMAN,PT Makmur Berkah Amanda Tbk.
AMAR,PT Bank Amar Indonesia Tbk.
AMFG,Asahimas Flat Glass Tbk
AMIN,PT Ateliers Mecaniques D Indonesie Tbk.
AMOR,PT Ashmore Asset Management Indonesia Tbk.
AMRT,PT Sumber Alfaria Trijaya Tbk.
ANDI,PT Andira Agro Tbk
ANJT,PT Austindo Nusantara Jaya Tbk.
ANTM,Aneka Tambang Tbk.
APEX,Apexindo Pratama Duta Tbk
APIC,PACIFIC STRATEGIC FINANCIAL Tbk
APII,PT Arita Prima Indonesia Tbk.
APLI,Asiaplast Industries Tbk
APLN,PT Agung Podomoro Land Tbk.
ARGO,Argo Pantes Tbk
ARII,Atlas Resources Tbk
ARKA,PT Arkha Jayanti Persada Tbk.
ARMY,PT Armidian Karyatama Tbk
ARNA,Arwana Citramulia Tbk
ARTA,Arthavest Tbk
ARTI,Ratu Prabu Energi Tbk
ARTO,PT Bank Jago Tbk.
ASBI,Asuransi Bintang Tbk
ASDM,Asuransi Dayin Mitra Tbk
ASGR,Astra Graphia Tbk
ASII,Astra International Tbk
ASJT,Asuransi Jasa Tania Tbk
ASMI,PT Asuransi Kresna Mitra Tbk.
ASPI,PT Andalan Sakti Primaindo Tbk.
ASRI,ALAM SUTERA REALTY Tbk
ASRM,Asuransi Ramayana Tbk
ASSA,Adi Sarana Armada Tbk
ATIC,PT Anabatic Technologies Tbk
AUTO,Astra Otoparts Tbk
AYLS,PT Agro Yasa Lestari Tbk
BABP,PT Bank MNC Internasional Tbk.
BACA,PT Bank Capital Indonesia Tbk
BAJA,Saranacentral Bajatama Tbk
BALI,PT Bali Towerindo Sentra Tbk. 
BAPA,Bekasi Asri Pemula Tbk
BAPI,PT Bhakti Agung Propertindo Tbk.
BATA,Sepatu Bata Tbk
BAYU,Bayu Buana Tbk
BBCA,PT Bank Central Asia Tbk.
BBHI,PT Bank Harda Internasional Tbk.
BBKP,Bank Bukopin Tbk
BBLD,Buana Finance Tbk
BBMD,PT Bank Mestika Dharma Tbk.
BBNI,PT Bank Negara Indonesia (Persero) Tbk
BBRI,PT Bank Rakyat Indonesia (Persero) Tbk
BBRM,Pelayaran Nasional Bina Buana Raya Tbk
BBSI,PT Bank Bisnis Internasional Tbk.
BBSS,PT Bumi Benowo Sukses Sejahtera Tbk
BBTN,PT Bank Tabungan Negara (Persero) Tbk
BBYB,PT Bank Yudha Bhakti Tbk.
BCAP,MNC Kapital Indonesia Tbk
BCIC,PT Bank JTrust Indonesia Tbk. 
BCIP,Bumi Citra Permai Tbk
BDMN,PT Bank Danamon Indonesia Tbk
BEEF,PT Estika Tata Tiara Tbk.
BEKS,PT Bank Pembangunan Daerah Banten Tbk.
BELL,PT Trisula Textile Industries Tbk
BESS,PT Batulicin Nusantara Maritim Tbk.
BEST,Bekasi Fajar Industrial Estate Tbk
BFIN,BFI Finance Indonesia Tbk
BGTG,PT Bank Ganesha Tbk.
BHAT,PT Bhakti Multi Artha Tbk.
BHIT,PT MNC Investama Tbk.
BIKA,PT Binakarya Jaya Abadi Tbk.
BIMA,Primarindo Asia Infrastructure Tbk
BINA,PT Bank Ina Perdana Tbk.
BIPI,PT Astrindo Nusantara Infrastruktur Tbk.
BIPP,Bhuwanatala Indah Permai Tbk
BIRD,PT Blue Bird Tbk
BISI,BISI INTERNATIONAL Tbk
BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk
BJTM,Bank Pembangunan Daerah Jawa Timur Tbk
BKDP,Bukit Darmo Property Tbk
BKSL,Sentul City Tbk
BKSW,PT Bank QNB Indonesia Tbk
BLTA,Berlian Laju Tanker Tbk
BLTZ,PT Graha Layar Prima Tbk.
BLUE,PT Berkah Prima Perkasa Tbk
BMAS,PT Bank Maspion Indonesia Tbk.
BMRI,PT Bank Mandiri (Persero) Tbk
BMSR,Bintang Mitra Semestaraya Tbk
BMTR,PT Global Mediacom Tbk
BNBA,Bank Bumi Arta Tbk
BNBR,Bakrie & Brothers Tbk
BNGA,PT Bank CIMB Niaga Tbk
BNII,PT Bank Maybank Indonesia Tbk
BNLI,Bank Permata Tbk
BOGA,PT Bintang Oto Global Tbk
BOLA,PT Bali Bintang Sejahtera Tbk.
BOLT,PT Garuda Metalindo Tbk.
BOSS,PT Borneo Olah Sarana Sukses Tbk.
BPFI,Batavia Prosperindo Finance Tbk
BPII,PT Batavia Prosperindo Internasional Tbk.
BPTR,PT Batavia Prosperindo Trans Tbk.
BRAM,Indo Kordsa Tbk
BRIS,PT Bank BRIsyariah Tbk
BRMS,Bumi Resources Minerals Tbk
BRNA,Berlina Tbk
BRPT,Barito Pacific Tbk
BSDE,PT Bumi Serpong Damai Tbk
BSIM,Bank Sinarmas Tbk
BSSR,Baramulti Suksessarana Tbk
BSWD,Bank of India Indonesia Tbk
BTEK,Bumi Teknokultura Unggul Tbk
BTEL,Bakrie Telecom Tbk
BTON,Betonjaya Manunggal Tbk
BTPN,PT Bank BTPN Tbk
BTPS,PT Bank BTPN Syariah Tbk.
BUDI,PT Budi Starch & Sweetener Tbk.
BUKK,Bukaka Teknik Utama Tbk
BULL,PT Buana Lintas Lautan Tbk.
BUMI,Bumi Resources Tbk
BUVA,PT Bukit Uluwatu Villa Tbk
BVIC,Bank Victoria International Tbk
BWPT,Eagle High Plantations Tbk
BYAN,Bayan Resources Tbk
CAKK,PT Cahayaputra Asa Keramik Tbk.
CAMP,PT Campina Ice Cream Industry Tbk.
CANI,PT Capitol Nusantara Indonesia Tbk.
CARE,PT Metro Healthcare Indonesia Tbk
CARS,PT Industri dan Perdagangan Bintraco Dharma Tbk
CASA,PT Capital Financial Indonesia Tbk
CASH,PT Cashlez Worldwide Indonesia Tbk.
CASS,Cardig Aero Services Tbk
CBMF,PT Cahaya Bintang Medan Tbk
CCSI,PT Communication Cable Systems Indonesia Tbk.
CEKA,PT Wilmar Cahaya Indonesia Tbk.
CENT,PT Centratama Telekomunikasi Indonesia Tbk.
CFIN,Clipan Finance Indonesia Tbk
CINT,PT Chitose Internasional Tbk
CITA,Cita Mineral Investindo Tbk
CITY,PT Natura City Developments Tbk.
CLAY,PT Citra Putra Realty Tbk
CLEO,PT Sariguna Primatirta Tbk
CLPI,Colorpak Indonesia Tbk
CMNP,Citra Marga Nusaphala Persada Tbk
CMPP,PT AirAsia Indonesia Tbk
CNKO,Exploitasi Energi Indonesia Tbk
CNTX,Centex Tbk
COCO,PT Wahana Interfood Nusantara Tbk.
COWL,COWELL DEVELOPMENT Tbk
CPIN,Charoen Pokphand Indonesia Tbk
CPRI,PT Capri Nusa Satu Properti Tbk.
CPRO,Central Proteina Prima Tbk
CSAP,Catur Sentosa Adiprana Tbk
CSIS,PT Cahayasakti Investindo Sukses Tbk
CSMI,PT Cipta Selera Murni Tbk.
CSRA,PT Cisadane Sawit Raya Tbk.
CTBN,Citra Tubindo Tbk
CTRA,Ciputra Development Tbk
CTTH,Citatah Tbk
DADA,PT Diamond Citra Propertindo Tbk.
DART,Duta Anggada Realty Tbk
DAYA,PT Duta Intidaya Tbk.
DEAL,PT Dewata Freightinternational Tbk.
DEFI,Danasupra Erapacific Tbk
DEWA,Darma Henwa Tbk
DFAM,PT Dafam Property Indonesia Tbk
DGIK,Nusa Konstruksi Enjiniring  Tbk
DIGI,PT Arkadia Digital Media Tbk
DILD,Intiland Development Tbk
DIVA,PT Distribusi Voucher Nusantara Tbk
DKFT,Central Omega Resources Tbk
DLTA,Delta Djakarta Tbk
DMAS,PT Puradelta Lestari Tbk.
DMMX,PT Digital Mediatama Maxima Tbk
DMND,PT Diamond Food Indonesia Tbk.
DNAR,PT Bank Oke Indonesia Tbk.
DNET,PT Indoritel Makmur Internasional Tbk.
DOID,Delta Dunia Makmur Tbk
DPNS,Duta Pertiwi Nusantara Tbk
DPUM,PT Dua Putra Utama Makmur Tbk.
DSFI,Dharma Samudera Fishing Ind. Tbk
DSNG,PT Dharma Satya Nusantara Tbk.
DSSA,Dian Swastatika Sentosa Tbk
DUCK,PT Jaya Bersama Indo Tbk.
DUTI,Duta Pertiwi Tbk
DVLA,Darya-Varia Laboratoria Tbk
DWGL,PT Dwi Guna Laksana Tbk
DYAN,PT Dyandra Media International Tbk.
EAST,PT Eastparc Hotel Tbk
ECII,PT Electronic City Indonesia Tbk.
EKAD,Ekadharma International Tbk
ELSA,Elnusa Tbk
ELTY,Bakrieland Development Tbk
EMDE,Megapolitan Developments Tbk
EMTK,Elang Mahkota Teknologi Tbk
ENRG,Energi Mega Persada Tbk
ENVY,PT Envy Technologies Indonesia Tbk
EPAC,PT Megalestari Epack Sentosaraya Tbk.
EPMT,Enseval Putra Megatrading Tbk
ERAA,Erajaya Swasembada Tbk
ERTX,Eratex Djaja Tbk
ESIP,PT Sinergi Inti Plastindo Tbk.
ESSA,Surya Esa Perkasa Tbk
ESTA,PT Esta Multi Usaha Tbk.
ESTI,Ever Shine Textile Industry Tbk
ETWA,Eterindo Wahanatama Tbk
EXCL,PT XL Axiata Tbk
FAST,PT Fast Food Indonesia Tbk
FASW,Fajar Surya Wisesa Tbk
FILM,PT MD Pictures Tbk.
FINN,PT First Indo American Leasing Tbk.
FIRE,PT Alfa Energi Investama Tbk.
FISH,FKS Multi Agro Tbk
FITT,PT Hotel Fitra International Tbk
FMII,Fortune Mate Indonesia Tbk
FOOD,PT Sentra Food Indonesia Tbk.
FORU,Fortune Indonesia Tbk
FORZ,PT Forza Land Indonesia Tbk.
FPNI,PT Lotte Chemical Titan Tbk.
FREN,Smartfren Telecom Tbk
FUJI,PT Fuji Finance Indonesia Tbk.
GAMA,Aksara Global Development Tbk
GDST,Gunawan Dianjaya Steel Tbk
GDYR,Goodyear Indonesia Tbk
GEMA,Gema Grahasarana Tbk
GEMS,Golden Energy Mines Tbk
GGRM,Gudang Garam Tbk
GGRP,PT Gunung Raja Paksi Tbk.
GGST,PT Great Golden Star Tbk
GHON,PT Gihon Telekomunikasi Indonesia Tbk
GIAA,Garuda Indonesia (Persero) Tbk
GJTL,Gajah Tunggal Tbk
GLOB,Global Teleshop Tbk
GLVA,PT Galva Technologies Tbk
GMFI,PT Garuda Maintenance Facility Aero Asia Tbk.
GMTD,Gowa Makassar Tourism Development Tbk
GOLD,PT Visi Telekomunikasi Infrastruktur Tbk.
GOLL,PT Golden Plantation Tbk
GOOD,PT Garudafood Putra Putri Jaya Tbk.
GPRA,Perdana Gapura Prima Tbk
GREN,Evergreen Invesco Tbk
GRHA,PT GRHA SATU ENAM LIMA TBK
GSMF,Equity Development Investment Tbk
GTBO,Garda Tujuh Buana Tbk
GWSA,PT Greenwood Sejahtera Tbk
GZCO,Gozco Plantations Tbk
HADE,PT Himalaya Energi Perkasa Tbk
HDFA,Radana Bhaskara Finance Tbk
HDIT,PT Hensel Davest Indonesia Tbk
HDTX,Panasia Indo Resources Tbk
HEAL,PT Medikaloka Hermina Tbk.
HELI,PT Jaya Trishindo Tbk
HERO,Hero Supermarket Tbk
HEXA,Hexindo Adiperkasa Tbk
HITS,Humpuss Intermoda Transportasi Tbk
HKMU,PT HK Metals Utama Tbk
HMSP,HM Sampoerna Tbk
HOKI,PT Buyung Poetra Sembada Tbk.
HOME,Hotel Mandarine Regency Tbk
HOMI,PT Grand House Mulia Tbk
HOTL,Saraswati Griya Lestari Tbk
HRME,PT Menteng Heritage Realty Tbk.
HRTA,PT Hartadinata Abadi Tbk
HRUM,Harum Energy Tbk
IATA,PT Indonesia Transport & Infrastructure Tbk.
IBFN,PT Intan Baruprana Finance Tbk
IBST,Inti Bangun Sejahtera Tbk
ICBP,Indofood CBP Sukses Makmur Tbk
ICON,Island Concepts Indonesia Tbk
IDPR,PT Indonesia Pondasi Raya Tbk.
IFII,PT Indonesia Fibreboard Industry Tbk
IFSH,PT Ifishdeco Tbk.
IGAR,Champion Pacific Indonesia Tbk
IIKP,Inti Agri Resources Tbk
IKAI,Intikeramik Alamasri Industri Tbk
IKAN,PT Era Mandiri Cemerlang Tbk
IKBI,Sumi Indo Kabel Tbk
IMAS,Indomobil Sukses Internasional Tbk
IMJS,PT Indomobil Multi Jasa Tbk.
IMPC,PT Impack Pratama Industri Tbk
INAF,Indofarma Tbk.
INAI,Indal Aluminium Industry Tbk
INCI,Intanwijaya Internasional Tbk
INCO,Vale Indonesia Tbk
INDF,Indofood Sukses Makmur Tbk
INDO,PT Royalindo Investa Wijaya Tbk
INDR,Indorama Synthetics Tbk
INDS,Indospring Tbk
INDX,Tanah Laut Tbk
INDY,Indika Energy Tbk
INKP,Indah Kiat Pulp & Paper Tbk
INOV,PT Inocycle Technology Group Tbk.
INPC,Bank Artha Graha Internasional Tbk
INPP,Indonesian Paradise Property Tbk
INPS,PT Indah Prakasa Sentosa Tbk.
INRU,Toba Pulp Lestari Tbk
INSA,PT Intinusa Selareksa Tbk
INTA,Intraco Penta Tbk
INTD,Inter-Delta Tbk
INTP,Indocement Tunggal Prakarsa Tbk
IPCC,PT Indonesia Kendaraan Terminal Tbk.
IPCM,PT Jasa Armada Indonesia Tbk.
IPOL,Indopoly Swakarsa Industry Tbk
IPTV,PT MNC Vision Networks Tbk.
IRRA,PT Itama Ranoraya Tbk.
ISAT,PT Indosat Tbk
ISSP,PT Steel Pipe Industry of Indonesia Tbk
