ticker,Jumlah,Kategori,Nama,Pengendali,Persentase
AALI,340510927.0,Lebih dari 5%,PT Astra International Tbk,True,17.69
ABBA,1592831618.0,Lebih dari 5%,PT Beyond Media,True,57.81
ABDA,1.0,Lebih dari 5%,Bank of Singapore Ltd A/C MApfre Internacional SA,True,62.33
ABMM,285447300.0,Lebih dari 5%,"Bank Julius Baer Co Ltd, Singapore S/A",False,10.368
ACES,10284900000.0,Lebih dari 5%,PT KAWAN LAMA SEJAHTERA,True,59.97
ACST,350700000.0,Lebih dari 5%,PT Karya Supra Perkasa,True,50.1
ADES,539896713.0,Lebih dari 5%,"Water Partners Bottling, SA",True,91.52
ADFO,,,,,
ADHI,1816046624.0,Lebih dari 5%,Negara Republik Indonesia,True,51.0
ADMF,920700000.0,Lebih dari 5%,PT Bank Danamon Indonesia Tbk,True,92.07
ADMG,405356593.0,Lebih dari 5%,PT Satya Mulia Gema Gemilang,False,10.0
ADRO,14045425500.0,Lebih dari 5%,PT Adaro Strategic Investment,True,43.91
AGAR,450000000.0,Lebih dari 5%,PT Indo Kreasi Pratama,True,45.0
AGII,766665000.0,Lebih dari 5%,PT Aneka Mega Energi,True,25.0
AGRO,18589384692.0,Lebih dari 5%,PT. Bank Rakyat Indonesia (Persero) Tbk,True,87.1
AGRS,10945711398.0,Lebih dari 5%,Industrial Bank of Korea,True,97.5
AHAP,1827142432.0,Lebih dari 5%,PT ASURANSI CENTRAL ASIA,True,62.15
AIMS,11059600.0,Lebih dari 5%,Effendi Leman,False,5.03
AISA,300275155.0,Lebih dari 5%,TROPHY INVESTORS I LTD,False,6.27
AKKU,4786183000.0,Lebih dari 5%,PT Eka Mandiri Anugerah Sejahtera,True,74.21
AKPI,92133534.0,Lebih dari 5%,PT Nawa Panduta,True,13.55
AKRA,2392626120.0,Lebih dari 5%,PT Arthakencana Rayatama,True,59.6
AKSI,665699750.0,Lebih dari 5%,PT Batulicin Enam Sembilan Transportasi,True,92.46
ALDO,855877869.0,Lebih dari 5%,PT Golden Arista International,True,77.81
ALKA,70427500.0,Lebih dari 5%,PT. Gesit Alumas,False,14.0
ALMI,35068704.0,Lebih dari 5%,PT Maspion,True,5.69
ALTO,231030512.0,Lebih dari 5%,"PT Trimegah Sekuritas Indonesia, Tbk",False,10.54
AMAG,388000000.0,Lebih dari 5%,PT. BANK PANIN Tbk,False,7.76
AMAN,3158500000.0,Lebih dari 5%,PT Griya Prima Amanda,True,81.54
AMAR,2410530000.0,Lebih dari 5%,Tolaram Group Inc.,True,30.0
AMFG,193240400.0,Lebih dari 5%,AGC Inc.,True,44.53
AMIN,630638300.0,Lebih dari 5%,"Sphere Corporation, SDN, BHD",True,58.39
AMOR,667060000.0,Lebih dari 5%,Ashmore Investment Management Limited,True,60.04
AMRT,21819948710.0,Lebih dari 5%,PT SIGMANTARA ALFINDO,True,52.55
ANDI,699970000.0,Lebih dari 5%,PT ANUGERAH PERKASA SEMESTA,True,7.486
ANJT,1370050012.0,Lebih dari 5%,PT Memimpin Dengan Nurani,True,40.846
ANTM,15619999999.0,Lebih dari 5%,PT INDONESIA ASAHAN ALUMINIUM (PERSERO),True,65.0
APEX,1826774058.0,Lebih dari 5%,PT Aserra Capital,True,68.7
APIC,4928709805.0,Lebih dari 5%,PT Pan Pacific Investama,True,41.89
APII,60146480.0,Lebih dari 5%,Low Yew Lean,True,5.59
APLI,801304000.0,Lebih dari 5%,PT MACO AMANGRAHA,True,58.8
APLN,18777785148.0,Lebih dari 5%,PT Indofica,True,82.724
ARGO,34727500.0,Lebih dari 5%,The Ning King,False,10.35
ARII,462467000.0,Lebih dari 5%,Abdi Andre,True,15.42
ARKA,1046250000.0,Lebih dari 5%,PT Arkha Tanto Prima,True,52.31
ARMY,1842368800.0,Lebih dari 5%,PT Mandiri Mega Jaya,True,20.457
ARNA,1030000000.0,Lebih dari 5%,PT Suprakreasi Eradinamika,True,14.03
ARTA,396173600.0,Lebih dari 5%,Lucas,True,88.69
ARTI,2591776837.0,Lebih dari 5%,PT Ratu Prabu,True,33.058
ARTO,4087378125.0,Lebih dari 5%,PT Metamorfosis Ekosistem Indonesia,True,37.65
ASBI,123522776.0,Lebih dari 5%,PT. Srihana Utama,True,35.46
ASDM,140796900.0,Lebih dari 5%,PT EQUITY DEVELOPOMENT INVESTMENT TBKE,True,73.3
ASGR,1036752580.0,Lebih dari 5%,PT Astra International Tbk.,True,76.87
ASII,20288255040.0,Lebih dari 5%,Jardine Cycle & Carriage Limited,True,50.11
ASJT,464365700.0,Lebih dari 5%,Dana Pensiun Perkebunan,True,77.39
ASMI,11618500.0,Lebih dari 5%,PT.MEGA INTI SUPRA,True,0.13
ASPI,349995000.0,Lebih dari 5%,PT Andalan Sakti Inti,True,51.39
ASRI,2533816364.0,Lebih dari 5%,PT Manunggal Prime Development,True,12.9
ASRM,64822190.0,Lebih dari 5%,SYAHRIL,True,27.69
ASSA,651400000.0,Lebih dari 5%,PT DAYA ADICIPTA MUSTIKA,False,19.17
